[Kavita] [2026-02-13 14:04:46.041 +01:00  14] [Fatal] API.Program Running MigrateFormatToActivityDataV2 migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:46.043 +01:00  14] [Fatal] API.Program Running MigrateIncorrectUtcTimes migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:46.121 +01:00  14] [Information] API.Program Corrected 0 session records
[Kavita] [2026-02-13 14:04:46.126 +01:00  14] [Fatal] API.Program Running MigrateIncorrectUtcTimes migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:46.139 +01:00  14] [Information] API.Program Running Migrations - complete
[Kavita] [2026-02-13 14:04:47.948 +01:00  1] [Information] API.Program Starting with base url as /
[Kavita] [2026-02-13 14:04:48.229 +01:00  1] [Information] Microsoft.Hosting.Lifetime Now listening on: http://[::]:5000
[Kavita] [2026-02-13 14:04:48.237 +01:00  1] [Information] API.Program Kavita - v0.8.9.1
[Kavita] [2026-02-13 14:04:48.304 +01:00  1] [Information] Microsoft.Hosting.Lifetime Application started. Press Ctrl+C to shut down.
[Kavita] [2026-02-13 14:04:48.305 +01:00  1] [Information] Microsoft.Hosting.Lifetime Hosting environment: Production
[Kavita] [2026-02-13 14:04:48.305 +01:00  1] [Information] Microsoft.Hosting.Lifetime Content root path: /kavita
[Kavita] [2026-02-13 14:55:23.809 +01:00  82] [Information] Microsoft.Hosting.Lifetime Application is shutting down...
